"c_item" , "item_name"
"1001","長崎県産 アールスメロン1"
"1002","長崎県産 伊木力みかん2"
"2001","長崎県産 長崎和牛ヒレステーキ3"
"2002","長崎県産 長崎和牛食べ比べ焼肉セット"
"2003","長崎県産 長崎和牛ローススライス"
"2004","長崎県産 牛豚焼肉セット"
"2005","伊藤ハム 至福の和食 WR-501"
"2006","伊藤ハム 伝承 DB-80"
"2007","伊藤ハム 伝承 DKS-35"
"2008","伊藤ハム 伝承献呈 GMF-42"
"2009","伊藤ハム 伝承献呈 GMV-48"
"2010","伊藤ハム 伝承献呈 IGM-3"
"2011","伊藤ハム 伝承献呈うす塩仕上げ GMU-35"
"2012","日本ハム 長崎浪漫工房 RKN-111"
"2013","日本ハム 本格派 NH-319"
"2014","日本ハム 本格派 NH-427"
"2015","日本ハム 北海道　プレミアム　美ノ国 UKH-38"
"2016","日本ハム 北海道　プレミアム　美ノ国 UKH-48"
"2017","日本ハム 北海道　プレミアム　美ノ国 UKH-58"
"2018","日本ハム 北海道　プレミアム　美ノ国 UKH-85"
"3001","博多漁師の里 辛子明太子　一本物　樽詰 RM-30"
"3002","愛情食彩 五島列島のどぐろ入り島の一夜干しセット"
"3003","藤井からすみ店 俵物からすみ詰合せ"
"3004","ＡＣＳ（よか魚） 長崎産天然クエと地魚鍋　３人前"
"3005","長崎漁港水産加工団地協同組合 長崎ブランド！ゆうこうシマアジ、真鯛の漬け丼食べ比べＡ"
"3006","長崎漁港水産加工団地協同組合 長崎ブランド！ゆうこうシマアジ、真鯛の漬け丼食べ比べＢ"
"3007","日野商店 長崎鯨肉３種セット(梅)"
"4001","白雪食品 T-30 長崎ちゃんぽん・皿うどん詰め合わせ"
"4002","長崎一番 かまぼこ長崎一番詰合せ K-68"
"4003","長崎一番 かまぼこ長崎一番詰合せ OCS-350"
"4004","川虎かまぼこ 川虎のおつまみ詰合せ"
"4005","浜口水産 五島蒲鉾詰合せ GS-35"
"4006","落水正商店 太陽卵１０個入 ６パックセット"
"4007","法本胡麻豆腐店 豆乳ぷりん ６個入"
"5001","中本製麺 五島手延べうどん詰合せ N-6"
"5002","山一 即席にゅうめん詰合せ"
"5501","角煮家こじま 角煮まん・角煮そぼろまん詰合せ"
"5502","マルマス レンジ冷凍五島うどん MR-22"
"6001","琴海堂 長崎かすてらアソートセット 4種類"
"6501","竹下製菓 三銃士パック"
"6502","メイショク スルー　苺の宝石箱　S-3"
"6503","竹下製菓 ファミリーパック"
"7501","重家酒造 いきなはからい純米吟醸ギフトセット"
"7502","杵の川酒造 杵の川　飲み比べ小瓶セット"
"8001","日本香堂 芝山　二種香(銘香芝山･特撰芝山)　桐箱短寸１０入"
