"item_id","item_name","jan_code"
"H-01","大光食品 島原工房ハンバーグセット","4968965901724"
"H-02","杉永蒲鉾　地魚かまぼこ詰め合わせ　R-201",""
"H-03","みろくや　ちゃんぽん・皿うどん（揚麵）　詰合わせ　C-30","4993186613613"
"H-04","伊藤ハム　伝承献呈うす塩仕上げ　GMU-37","4976495066578"
"H-05","大光食品　長崎じげもん豚角煮まんじゅうセット","4984962001175"
"H-06","浜口水産　五島蒲鉾詰め合わせ　GS-40","11101147"
"H-07","リンガーフーズ　長崎ちゃんぽん・長崎皿うどん","4582431280511"
"H-08","日本ハム　本格派　NRB-43","4901231311056"
"H-09","藤井からすみ店　長崎からすみドレッシング詰め合わせ","4901231311056"
"H-10","法本胡麻豆腐店　長崎もちもちごまとうふ８個入","4901231311056"
"H-11","エン・ダイニング　九州ラーメン味めぐり12食　KK-30","4901231311056"
"H-12","マルマス　五島手延べうどん七椿　MM-23S","4901231311056"
"H-13","イチセライス　人気の高級銘柄米　食べ比べセットB","4901231311056"
"H-14","メイショク　横濱（浪漫館）　チョコアイスボールセット　CH-38","4901231311056"
"H-15","月香園製茶　銘茶詰め合わせ","4901231311056"
"H-16","梅ヶ枝酒造　日本酒セット　JG-35","4901231311056"
